Individual, Wi
849,0.840364
850,0.931213
851,0.872301
852,0.901497
853,0.891358
854,0.899183
855,0.916982
856,0.808867
857,0.971529
858,0.870555
859,0.789683
860,0.922037
861,0.876245
862,0.915743
863,0.842893
864,0.924629
865,0.935280
866,0.947716
867,0.910095
868,0.880404
869,0.913320
870,0.900766
871,0.844821
872,0.825903
873,0.952291
874,0.820071
875,0.917161
876,0.838332
877,0.889582
878,0.916790
879,0.957280
880,0.876808
881,0.913064
882,0.911227
883,0.904512
884,0.921023
885,0.961633
886,0.901924
887,0.798948
888,0.925284
889,0.906176
890,0.872857
891,0.884871
892,0.921825
893,0.939412
894,0.868072
895,0.750810
896,0.938806
897,0.880650
898,0.855868
899,0.868822
900,0.853096
901,0.915574
902,0.910202
903,0.845698
904,0.954263
905,0.914213
906,0.915962
907,0.939555
908,0.903521
909,0.971792
910,0.861414
911,0.788233
912,0.917990
913,0.901237
914,0.881816
915,0.835358
916,0.865098
917,0.930567
918,0.938131
919,0.785460
920,0.966773
921,0.933169
922,0.935418
923,0.887729
924,0.984291
925,0.685780
926,0.874988
927,0.898226
928,0.843598
929,0.946414
930,0.979336
931,0.909339
932,0.959342
933,0.967896
934,0.914946
935,0.836303
936,0.783202
937,0.839245
938,0.944515
939,0.885371
940,0.896289
941,0.851669
942,0.899953
943,0.872470
944,0.936488
945,0.904708
946,0.893917
947,0.951266
948,0.883008
949,0.863500
950,0.912101
951,0.924761
952,0.958679
953,0.821201
954,0.956555
955,0.852951
956,0.896244
957,0.882050
958,0.892830
959,0.982481
960,0.874818
961,0.945711
962,0.891491
963,0.859701
964,0.942581
965,0.866328
966,0.896015
967,0.975587
968,0.964129
969,0.772363
970,0.974819
971,0.917424
972,0.822721
973,0.932147
974,0.975113
975,0.865282
976,0.770040
977,0.864583
978,0.861774
979,0.955774
980,0.811186
981,0.965938
982,0.909231
983,0.906406
984,0.963544
985,0.920236
986,0.895022
987,0.953854
988,0.698133
989,0.881992
990,0.830042
991,0.953507
992,0.870828
993,0.951319
994,0.805605
995,0.863270
996,0.915426
997,0.852692
998,0.854693
999,0.943187
1000,0.940433
End of burn-in phase not reached.
