Burn-in phase called as ending in generation 503
Individual, Wi
862,0.097618
863,0.094912
864,0.123546
865,0.137480
866,0.173444
867,0.109702
868,0.102158
869,0.107546
870,0.100625
871,0.120851
872,0.143030
873,0.098367
874,0.099440
875,0.119400
876,0.125155
877,0.165763
878,0.131158
879,0.103278
880,0.128242
881,0.098856
882,0.134985
883,0.158884
884,0.083833
885,0.141436
886,0.104689
887,0.115266
888,0.147934
889,0.106402
890,0.120987
891,0.100188
892,0.100508
893,0.076680
894,0.133089
895,0.087722
896,0.107784
897,0.096757
898,0.121083
899,0.083122
900,0.086193
901,0.118127
902,0.103328
903,0.164396
904,0.105264
905,0.163123
906,0.086264
907,0.114078
908,0.116545
909,0.125533
910,0.078727
911,0.134752
912,0.078367
913,0.119707
914,0.077251
915,0.100495
916,0.075326
917,0.126909
918,0.103967
919,0.093539
920,0.090285
921,0.084516
922,0.108343
923,0.091205
924,0.107002
925,0.118341
926,0.098528
927,0.090774
928,0.126032
929,0.091609
930,0.257778
931,0.123186
932,0.128932
933,0.097294
934,0.081471
935,0.099640
936,0.111304
937,0.108426
938,0.213739
939,0.086934
940,0.140050
941,0.107926
942,0.108844
943,0.124928
944,0.156869
945,0.063047
946,0.123761
947,0.116040
948,0.107550
949,0.095660
950,0.091855
951,0.091002
952,0.084686
953,0.105039
954,0.095912
955,0.106371
956,0.098116
957,0.103079
958,0.152183
959,0.085691
960,0.113834
961,0.127176
962,0.079660
963,0.151974
964,0.119819
965,0.175356
966,0.135032
967,0.090672
968,0.093617
969,0.124472
970,0.114210
971,0.127202
972,0.101499
973,0.131653
974,0.134197
975,0.074032
976,0.127554
977,0.132113
978,0.058089
979,0.084597
980,0.127432
981,0.091637
982,0.071249
983,0.128229
984,0.115388
985,0.086842
986,0.119103
987,0.100061
988,0.093219
989,0.153016
990,0.095153
991,0.155793
992,0.135918
993,0.086381
994,0.087522
995,0.143231
996,0.109932
997,0.112947
998,0.088681
999,0.080722
1000,0.147454
Slope of log(fitness) after the burn-in phase: -0.000068
