is_sample time
1 3879604.000000
1 3879604.000000
1 3879261.000000
1 3879261.000000
1 3879593.000000
1 3879593.000000
1 3880051.000000
1 3880051.000000
1 3879547.000000
1 3879547.000000
1 3879222.000000
1 3879222.000000
1 3879115.000000
1 3879115.000000
1 3880689.000000
1 3880689.000000
1 3880789.000000
1 3880789.000000
1 3879328.000000
1 3879328.000000
1 3879166.000000
1 3879166.000000
1 3879369.000000
1 3879369.000000
1 3880266.000000
1 3880266.000000
1 3880473.000000
1 3880473.000000
1 3880627.000000
1 3880627.000000
1 3879321.000000
1 3879321.000000
1 3879024.000000
1 3879024.000000
1 3879076.000000
1 3879076.000000
1 3879001.000000
1 3879001.000000
1 3880504.000000
1 3880504.000000
1 3879251.000000
1 3879251.000000
1 3879858.000000
1 3879858.000000
1 3879872.000000
1 3879872.000000
1 3879295.000000
1 3879295.000000
1 3879065.000000
1 3879065.000000
1 3879175.000000
1 3879175.000000
1 3879435.000000
1 3879435.000000
1 3879327.000000
1 3879327.000000
1 3879616.000000
1 3879616.000000
1 3879035.000000
1 3879035.000000
1 3882175.000000
1 3882175.000000
1 3879522.000000
1 3879522.000000
1 3880460.000000
1 3880460.000000
1 3879504.000000
1 3879504.000000
1 3879037.000000
1 3879037.000000
1 3879535.000000
1 3879535.000000
1 3879479.000000
1 3879479.000000
1 3880033.000000
1 3880033.000000
1 3882384.000000
1 3882384.000000
1 3879752.000000
1 3879752.000000
1 3879847.000000
1 3879847.000000
1 3880385.000000
1 3880385.000000
1 3879061.000000
1 3879061.000000
1 3879939.000000
1 3879939.000000
1 3879478.000000
1 3879478.000000
1 3879326.000000
1 3879326.000000
1 3879407.000000
1 3879407.000000
1 3881386.000000
1 3881386.000000
1 3879510.000000
1 3879510.000000
1 3882912.000000
1 3882912.000000
1 3879662.000000
1 3879662.000000
1 3879070.000000
1 3879070.000000
1 3879335.000000
1 3879335.000000
1 3880267.000000
1 3880267.000000
1 3882245.000000
1 3882245.000000
1 3879347.000000
1 3879347.000000
1 3879072.000000
1 3879072.000000
1 3879922.000000
1 3879922.000000
1 3879656.000000
1 3879656.000000
1 3879236.000000
1 3879236.000000
1 3879312.000000
1 3879312.000000
1 3882290.000000
1 3882290.000000
1 3879517.000000
1 3879517.000000
1 3879354.000000
1 3879354.000000
1 3879577.000000
1 3879577.000000
1 3882505.000000
1 3882505.000000
1 3880124.000000
1 3880124.000000
1 3879438.000000
1 3879438.000000
1 3879888.000000
1 3879888.000000
1 3879652.000000
1 3879652.000000
1 3879976.000000
1 3879976.000000
1 3879294.000000
1 3879294.000000
1 3883005.000000
1 3883005.000000
1 3880002.000000
1 3880002.000000
1 3880070.000000
1 3880070.000000
1 3879633.000000
1 3879633.000000
1 3879056.000000
1 3879056.000000
1 3879802.000000
1 3879802.000000
1 3879230.000000
1 3879230.000000
1 3879636.000000
1 3879636.000000
1 3879638.000000
1 3879638.000000
1 3880248.000000
1 3880248.000000
1 3879984.000000
1 3879984.000000
1 3879086.000000
1 3879086.000000
1 3879400.000000
1 3879400.000000
1 3879149.000000
1 3879149.000000
1 3881318.000000
1 3881318.000000
1 3879482.000000
1 3879482.000000
1 3879873.000000
1 3879873.000000
1 3879239.000000
1 3879239.000000
1 3883555.000000
1 3883555.000000
1 3879696.000000
1 3879696.000000
1 3882852.000000
1 3882852.000000
1 3880339.000000
1 3880339.000000
1 3880649.000000
1 3880649.000000
1 3879133.000000
1 3879133.000000
1 3881953.000000
1 3881953.000000
1 3880988.000000
1 3880988.000000
1 3879332.000000
1 3879332.000000
1 3879554.000000
1 3879554.000000
1 3879405.000000
1 3879405.000000
1 3879605.000000
1 3879605.000000
1 3879905.000000
1 3879905.000000
1 3879960.000000
1 3879960.000000
1 3879945.000000
1 3879945.000000
1 3879910.000000
1 3879910.000000
1 3879730.000000
1 3879730.000000
1 3880407.000000
1 3880407.000000
1 3881709.000000
1 3881709.000000
1 3879975.000000
1 3879975.000000
1 3879256.000000
1 3879256.000000
1 3880894.000000
1 3880894.000000
1 3879033.000000
1 3879033.000000
1 3879022.000000
1 3879022.000000
1 3879042.000000
1 3879042.000000
1 3880578.000000
1 3880578.000000
1 3879534.000000
1 3879534.000000
1 3879231.000000
1 3879231.000000
1 3879044.000000
1 3879044.000000
1 3880788.000000
1 3880788.000000
1 3879418.000000
1 3879418.000000
1 3879721.000000
1 3879721.000000
1 3881524.000000
1 3881524.000000
1 3879200.000000
1 3879200.000000
1 3879017.000000
1 3879017.000000
1 3879523.000000
1 3879523.000000
1 3880009.000000
1 3880009.000000
1 3879145.000000
1 3879145.000000
1 3880526.000000
1 3880526.000000
1 3879336.000000
1 3879336.000000
1 3880539.000000
1 3880539.000000
1 3879796.000000
1 3879796.000000
1 3879471.000000
1 3879471.000000
1 3879167.000000
1 3879167.000000
1 3880469.000000
1 3880469.000000
1 3881015.000000
1 3881015.000000
1 3879265.000000
1 3879265.000000
1 3880412.000000
1 3880412.000000
1 3879797.000000
1 3879797.000000
1 3880701.000000
1 3880701.000000
1 3880881.000000
1 3880881.000000
1 3879753.000000
1 3879753.000000
1 3879371.000000
1 3879371.000000
1 3879755.000000
1 3879755.000000
1 3879585.000000
1 3879585.000000
1 3879334.000000
1 3879334.000000
1 3880364.000000
1 3880364.000000
1 3880703.000000
1 3880703.000000
1 3879711.000000
1 3879711.000000
1 3881457.000000
1 3881457.000000
1 3879782.000000
1 3879782.000000
1 3883046.000000
1 3883046.000000
1 3880003.000000
1 3880003.000000
1 3880589.000000
1 3880589.000000
1 3879002.000000
1 3879002.000000
1 3879844.000000
1 3879844.000000
1 3879821.000000
1 3879821.000000
1 3880331.000000
1 3880331.000000
1 3879680.000000
1 3879680.000000
1 3879671.000000
1 3879671.000000
1 3879713.000000
1 3879713.000000
1 3879563.000000
1 3879563.000000
1 3879126.000000
1 3879126.000000
1 3879370.000000
1 3879370.000000
1 3879913.000000
1 3879913.000000
1 3880514.000000
1 3880514.000000
1 3879632.000000
1 3879632.000000
1 3879046.000000
1 3879046.000000
1 3880490.000000
1 3880490.000000
1 3881051.000000
1 3881051.000000
1 3882573.000000
1 3882573.000000
1 3879437.000000
1 3879437.000000
1 3880970.000000
1 3880970.000000
1 3879071.000000
1 3879071.000000
1 3881659.000000
1 3881659.000000
1 3879521.000000
1 3879521.000000
1 3879718.000000
1 3879718.000000
1 3880835.000000
1 3880835.000000
1 3879319.000000
1 3879319.000000
1 3879758.000000
1 3879758.000000
1 3879138.000000
1 3879138.000000
1 3879488.000000
1 3879488.000000
1 3880027.000000
1 3880027.000000
1 3879059.000000
1 3879059.000000
1 3879450.000000
1 3879450.000000
1 3879785.000000
1 3879785.000000
1 3879969.000000
1 3879969.000000
1 3883314.000000
1 3883314.000000
1 3879320.000000
1 3879320.000000
1 3880123.000000
1 3880123.000000
1 3879301.000000
1 3879301.000000
1 3879286.000000
1 3879286.000000
1 3880404.000000
1 3880404.000000
1 3880360.000000
1 3880360.000000
1 3879732.000000
1 3879732.000000
1 3879131.000000
1 3879131.000000
1 3880392.000000
1 3880392.000000
1 3881779.000000
1 3881779.000000
1 3879623.000000
1 3879623.000000
1 3879182.000000
1 3879182.000000
1 3879272.000000
1 3879272.000000
1 3879030.000000
1 3879030.000000
1 3879139.000000
1 3879139.000000
1 3879996.000000
1 3879996.000000
1 3879995.000000
1 3879995.000000
1 3879993.000000
1 3879993.000000
1 3879443.000000
1 3879443.000000
1 3879085.000000
1 3879085.000000
1 3879005.000000
1 3879005.000000
1 3882682.000000
1 3882682.000000
1 3880181.000000
1 3880181.000000
1 3879399.000000
1 3879399.000000
1 3879073.000000
1 3879073.000000
1 3879228.000000
1 3879228.000000
1 3879787.000000
1 3879787.000000
1 3879503.000000
1 3879503.000000
1 3879187.000000
1 3879187.000000
1 3879368.000000
1 3879368.000000
1 3879661.000000
1 3879661.000000
1 3879111.000000
1 3879111.000000
1 3879067.000000
1 3879067.000000
1 3879214.000000
1 3879214.000000
1 3880171.000000
1 3880171.000000
1 3879545.000000
1 3879545.000000
1 3880330.000000
1 3880330.000000
1 3879409.000000
1 3879409.000000
1 3879477.000000
1 3879477.000000
1 3879031.000000
1 3879031.000000
1 3879209.000000
1 3879209.000000
1 3880508.000000
1 3880508.000000
1 3880159.000000
1 3880159.000000
1 3879147.000000
1 3879147.000000
1 3879226.000000
1 3879226.000000
1 3879542.000000
