Burn-in phase called as ending in generation 743
Individual, Wi
840,0.546976
841,0.520426
842,0.613046
843,0.570594
844,0.658840
845,0.585938
846,0.581489
847,0.598721
848,0.675062
849,0.627080
850,0.659714
851,0.594931
852,0.565178
853,0.505075
854,0.529628
855,0.545888
856,0.662746
857,0.683964
858,0.549733
859,0.646854
860,0.601992
861,0.727917
862,0.624220
863,0.559504
864,0.639395
865,0.609979
866,0.589808
867,0.686881
868,0.663304
869,0.718966
870,0.592938
871,0.632450
872,0.528276
873,0.587090
874,0.726388
875,0.602832
876,0.591407
877,0.654489
878,0.624755
879,0.595052
880,0.603808
881,0.655155
882,0.738489
883,0.614874
884,0.651553
885,0.604276
886,0.598888
887,0.493481
888,0.588573
889,0.622442
890,0.499281
891,0.631235
892,0.532963
893,0.638260
894,0.574670
895,0.427583
896,0.509330
897,0.540958
898,0.659291
899,0.550190
900,0.562760
901,0.590549
902,0.476208
903,0.587944
904,0.669693
905,0.593692
906,0.592294
907,0.512684
908,0.596952
909,0.610963
910,0.543802
911,0.593185
912,0.620235
913,0.683580
914,0.584319
915,0.557174
916,0.643611
917,0.676262
918,0.662644
919,0.529720
920,0.705547
921,0.611558
922,0.645756
923,0.527919
924,0.746693
925,0.526301
926,0.771780
927,0.606014
928,0.581704
929,0.606982
930,0.542458
931,0.407651
932,0.710860
933,0.502351
934,0.604952
935,0.441418
936,0.568707
937,0.550592
938,0.664133
939,0.525165
940,0.614549
941,0.609680
942,0.706314
943,0.541707
944,0.561526
945,0.675976
946,0.612749
947,0.613390
948,0.747469
949,0.581759
950,0.765976
951,0.507483
952,0.588272
953,0.561396
954,0.668482
955,0.599368
956,0.555751
957,0.621745
958,0.698098
959,0.576361
960,0.604926
961,0.652770
962,0.444949
963,0.572332
964,0.597909
965,0.628640
966,0.751583
967,0.710677
968,0.612798
969,0.615537
970,0.583573
971,0.590841
972,0.617467
973,0.627120
974,0.653605
975,0.605675
976,0.489117
977,0.663565
978,0.489746
979,0.603867
980,0.661490
981,0.656315
982,0.570388
983,0.619124
984,0.442494
985,0.576240
986,0.532302
987,0.616758
988,0.587514
989,0.515226
990,0.632379
991,0.590773
992,0.561199
993,0.481821
994,0.676503
995,0.694654
996,0.549158
997,0.509003
998,0.673573
999,0.566833
1000,0.463137
Slope of log(fitness) after the burn-in phase: -0.000016
