Entered simulation run.
Population initialized.
Variables initialized, preparing to begin simulation.
log average fitness in generation 1514, 271 generations after burn-in, is: -0.554756
log average fitness in generation 1515, 272 generations after burn-in, is: -0.553591
log average fitness in generation 1516, 273 generations after burn-in, is: -0.551529
log average fitness in generation 1517, 274 generations after burn-in, is: -0.549847
log average fitness in generation 1518, 275 generations after burn-in, is: -0.547320
log average fitness in generation 1519, 276 generations after burn-in, is: -0.548907
log average fitness in generation 1520, 277 generations after burn-in, is: -0.551187
log average fitness in generation 1521, 278 generations after burn-in, is: -0.539869
log average fitness in generation 1522, 279 generations after burn-in, is: -0.537797
log average fitness in generation 1523, 280 generations after burn-in, is: -0.536795
log average fitness in generation 1524, 281 generations after burn-in, is: -0.540992
log average fitness in generation 1525, 282 generations after burn-in, is: -0.547026
log average fitness in generation 1526, 283 generations after burn-in, is: -0.548106
log average fitness in generation 1527, 284 generations after burn-in, is: -0.549592
log average fitness in generation 1528, 285 generations after burn-in, is: -0.544295
log average fitness in generation 1529, 286 generations after burn-in, is: -0.537808
log average fitness in generation 1530, 287 generations after burn-in, is: -0.541333
log average fitness in generation 1531, 288 generations after burn-in, is: -0.538318
log average fitness in generation 1532, 289 generations after burn-in, is: -0.541595
log average fitness in generation 1533, 290 generations after burn-in, is: -0.530091
log average fitness in generation 1534, 291 generations after burn-in, is: -0.523329
log average fitness in generation 1535, 292 generations after burn-in, is: -0.521520
log average fitness in generation 1536, 293 generations after burn-in, is: -0.528437
log average fitness in generation 1537, 294 generations after burn-in, is: -0.532657
log average fitness in generation 1538, 295 generations after burn-in, is: -0.533123
log average fitness in generation 1539, 296 generations after burn-in, is: -0.536048
log average fitness in generation 1540, 297 generations after burn-in, is: -0.533103
log average fitness in generation 1541, 298 generations after burn-in, is: -0.530498
log average fitness in generation 1542, 299 generations after burn-in, is: -0.528440
log average fitness in generation 1543, 300 generations after burn-in, is: -0.530287
log average fitness in generation 1544, 301 generations after burn-in, is: -0.534071
log average fitness in generation 1545, 302 generations after burn-in, is: -0.544942
log average fitness in generation 1546, 303 generations after burn-in, is: -0.557798
log average fitness in generation 1547, 304 generations after burn-in, is: -0.566588
log average fitness in generation 1548, 305 generations after burn-in, is: -0.571435
log average fitness in generation 1549, 306 generations after burn-in, is: -0.574928
log average fitness in generation 1550, 307 generations after burn-in, is: -0.577930
log average fitness in generation 1551, 308 generations after burn-in, is: -0.584492
log average fitness in generation 1552, 309 generations after burn-in, is: -0.581258
log average fitness in generation 1553, 310 generations after burn-in, is: -0.576628
log average fitness in generation 1554, 311 generations after burn-in, is: -0.592968
log average fitness in generation 1555, 312 generations after burn-in, is: -0.593498
log average fitness in generation 1556, 313 generations after burn-in, is: -0.601260
log average fitness in generation 1557, 314 generations after burn-in, is: -0.596245
log average fitness in generation 1558, 315 generations after burn-in, is: -0.592929
log average fitness in generation 1559, 316 generations after burn-in, is: -0.593148
log average fitness in generation 1560, 317 generations after burn-in, is: -0.586495
log average fitness in generation 1561, 318 generations after burn-in, is: -0.582898
log average fitness in generation 1562, 319 generations after burn-in, is: -0.578338
log average fitness in generation 1563, 320 generations after burn-in, is: -0.570404
log average fitness in generation 1564, 321 generations after burn-in, is: -0.568767
log average fitness in generation 1565, 322 generations after burn-in, is: -0.576997
log average fitness in generation 1566, 323 generations after burn-in, is: -0.568591
log average fitness in generation 1567, 324 generations after burn-in, is: -0.562875
log average fitness in generation 1568, 325 generations after burn-in, is: -0.565329
