Entered simulation run.
Population initialized.
Variables initialized, preparing to begin simulation.
log average fitness in generation 1024, 176 generations after burn-in, is: -11.792240
log average fitness in generation 1025, 177 generations after burn-in, is: -11.778359
log average fitness in generation 1026, 178 generations after burn-in, is: -11.793473
log average fitness in generation 1027, 179 generations after burn-in, is: -11.809223
log average fitness in generation 1028, 180 generations after burn-in, is: -11.844766
log average fitness in generation 1029, 181 generations after burn-in, is: -11.922592
log average fitness in generation 1030, 182 generations after burn-in, is: -11.920151
log average fitness in generation 1031, 183 generations after burn-in, is: -11.901202
log average fitness in generation 1032, 184 generations after burn-in, is: -11.911165
log average fitness in generation 1033, 185 generations after burn-in, is: -11.916598
log average fitness in generation 1034, 186 generations after burn-in, is: -11.899815
log average fitness in generation 1035, 187 generations after burn-in, is: -11.886830
log average fitness in generation 1036, 188 generations after burn-in, is: -11.871081
log average fitness in generation 1037, 189 generations after burn-in, is: -11.893937
log average fitness in generation 1038, 190 generations after burn-in, is: -11.916664
log average fitness in generation 1039, 191 generations after burn-in, is: -11.888129
log average fitness in generation 1040, 192 generations after burn-in, is: -11.843006
log average fitness in generation 1041, 193 generations after burn-in, is: -11.814709
log average fitness in generation 1042, 194 generations after burn-in, is: -11.842790
log average fitness in generation 1043, 195 generations after burn-in, is: -11.840350
log average fitness in generation 1044, 196 generations after burn-in, is: -11.778607
log average fitness in generation 1045, 197 generations after burn-in, is: -11.761479
log average fitness in generation 1046, 198 generations after burn-in, is: -11.699514
log average fitness in generation 1047, 199 generations after burn-in, is: -11.748056
log average fitness in generation 1048, 200 generations after burn-in, is: -11.713335
log average fitness in generation 1049, 201 generations after burn-in, is: -11.723400
log average fitness in generation 1050, 202 generations after burn-in, is: -11.751448
log average fitness in generation 1051, 203 generations after burn-in, is: -11.731241
log average fitness in generation 1052, 204 generations after burn-in, is: -11.738584
log average fitness in generation 1053, 205 generations after burn-in, is: -11.753903
log average fitness in generation 1054, 206 generations after burn-in, is: -11.741740
log average fitness in generation 1055, 207 generations after burn-in, is: -11.797930
log average fitness in generation 1056, 208 generations after burn-in, is: -11.871482
log average fitness in generation 1057, 209 generations after burn-in, is: -11.863475
log average fitness in generation 1058, 210 generations after burn-in, is: -11.858506
log average fitness in generation 1059, 211 generations after burn-in, is: -11.845966
log average fitness in generation 1060, 212 generations after burn-in, is: -11.885108
log average fitness in generation 1061, 213 generations after burn-in, is: -11.930769
log average fitness in generation 1062, 214 generations after burn-in, is: -11.965876
