Entered simulation run.
Population initialized.
Variables initialized, preparing to begin simulation.
log average fitness in generation 1202, 150 generations after burn-in, is: -1.050759
log average fitness in generation 1203, 151 generations after burn-in, is: -1.052563
log average fitness in generation 1204, 152 generations after burn-in, is: -1.049307
log average fitness in generation 1205, 153 generations after burn-in, is: -1.047145
log average fitness in generation 1206, 154 generations after burn-in, is: -1.045767
log average fitness in generation 1207, 155 generations after burn-in, is: -1.042490
log average fitness in generation 1208, 156 generations after burn-in, is: -1.045527
log average fitness in generation 1209, 157 generations after burn-in, is: -1.036621
log average fitness in generation 1210, 158 generations after burn-in, is: -1.044585
log average fitness in generation 1211, 159 generations after burn-in, is: -1.049834
log average fitness in generation 1212, 160 generations after burn-in, is: -1.049368
log average fitness in generation 1213, 161 generations after burn-in, is: -1.050405
log average fitness in generation 1214, 162 generations after burn-in, is: -1.049995
log average fitness in generation 1215, 163 generations after burn-in, is: -1.053262
log average fitness in generation 1216, 164 generations after burn-in, is: -1.060230
log average fitness in generation 1217, 165 generations after burn-in, is: -1.062486
log average fitness in generation 1218, 166 generations after burn-in, is: -1.065962
log average fitness in generation 1219, 167 generations after burn-in, is: -1.074644
log average fitness in generation 1220, 168 generations after burn-in, is: -1.069001
log average fitness in generation 1221, 169 generations after burn-in, is: -1.057240
log average fitness in generation 1222, 170 generations after burn-in, is: -1.048268
log average fitness in generation 1223, 171 generations after burn-in, is: -1.050151
log average fitness in generation 1224, 172 generations after burn-in, is: -1.037213
log average fitness in generation 1225, 173 generations after burn-in, is: -1.036614
log average fitness in generation 1226, 174 generations after burn-in, is: -1.027214
log average fitness in generation 1227, 175 generations after burn-in, is: -1.023888
log average fitness in generation 1228, 176 generations after burn-in, is: -1.033469
log average fitness in generation 1229, 177 generations after burn-in, is: -1.026580
log average fitness in generation 1230, 178 generations after burn-in, is: -1.023415
log average fitness in generation 1231, 179 generations after burn-in, is: -0.999648
log average fitness in generation 1232, 180 generations after burn-in, is: -1.001576
log average fitness in generation 1233, 181 generations after burn-in, is: -1.011442
log average fitness in generation 1234, 182 generations after burn-in, is: -1.008646
log average fitness in generation 1235, 183 generations after burn-in, is: -1.000324
log average fitness in generation 1236, 184 generations after burn-in, is: -0.994006
log average fitness in generation 1237, 185 generations after burn-in, is: -0.993349
log average fitness in generation 1238, 186 generations after burn-in, is: -1.009450
log average fitness in generation 1239, 187 generations after burn-in, is: -1.000050
log average fitness in generation 1240, 188 generations after burn-in, is: -0.998343
log average fitness in generation 1241, 189 generations after burn-in, is: -0.987075
log average fitness in generation 1242, 190 generations after burn-in, is: -0.975892
log average fitness in generation 1243, 191 generations after burn-in, is: -0.977203
log average fitness in generation 1244, 192 generations after burn-in, is: -0.977360
log average fitness in generation 1245, 193 generations after burn-in, is: -0.978776
log average fitness in generation 1246, 194 generations after burn-in, is: -0.977962
log average fitness in generation 1247, 195 generations after burn-in, is: -0.978914
log average fitness in generation 1248, 196 generations after burn-in, is: -0.975469
log average fitness in generation 1249, 197 generations after burn-in, is: -0.977688
log average fitness in generation 1250, 198 generations after burn-in, is: -0.977759
log average fitness in generation 1251, 199 generations after burn-in, is: -0.975717
log average fitness in generation 1252, 200 generations after burn-in, is: -0.971633
log average fitness in generation 1253, 201 generations after burn-in, is: -0.974964
log average fitness in generation 1254, 202 generations after burn-in, is: -0.991640
log average fitness in generation 1255, 203 generations after burn-in, is: -0.995789
log average fitness in generation 1256, 204 generations after burn-in, is: -0.994916
log average fitness in generation 1257, 205 generations after burn-in, is: -1.009914
log average fitness in generation 1258, 206 generations after burn-in, is: -0.999802
log average fitness in generation 1259, 207 generations after burn-in, is: -1.013204
log average fitness in generation 1260, 208 generations after burn-in, is: -1.013868
log average fitness in generation 1261, 209 generations after burn-in, is: -1.002581
log average fitness in generation 1262, 210 generations after burn-in, is: -1.018080
log average fitness in generation 1263, 211 generations after burn-in, is: -1.020487
log average fitness in generation 1264, 212 generations after burn-in, is: -1.023868
log average fitness in generation 1265, 213 generations after burn-in, is: -1.021594
log average fitness in generation 1266, 214 generations after burn-in, is: -1.022074
log average fitness in generation 1267, 215 generations after burn-in, is: -1.019609
log average fitness in generation 1268, 216 generations after burn-in, is: -1.026539
log average fitness in generation 1269, 217 generations after burn-in, is: -1.035087
log average fitness in generation 1270, 218 generations after burn-in, is: -1.029708
log average fitness in generation 1271, 219 generations after burn-in, is: -1.039133
log average fitness in generation 1272, 220 generations after burn-in, is: -1.028060
log average fitness in generation 1273, 221 generations after burn-in, is: -1.027842
log average fitness in generation 1274, 222 generations after burn-in, is: -1.027098
log average fitness in generation 1275, 223 generations after burn-in, is: -1.040294
log average fitness in generation 1276, 224 generations after burn-in, is: -1.041219
log average fitness in generation 1277, 225 generations after burn-in, is: -1.040324
log average fitness in generation 1278, 226 generations after burn-in, is: -1.042078
log average fitness in generation 1279, 227 generations after burn-in, is: -1.054131
log average fitness in generation 1280, 228 generations after burn-in, is: -1.065260
log average fitness in generation 1281, 229 generations after burn-in, is: -1.052631
log average fitness in generation 1282, 230 generations after burn-in, is: -1.039436
log average fitness in generation 1283, 231 generations after burn-in, is: -1.055179
log average fitness in generation 1284, 232 generations after burn-in, is: -1.044956
log average fitness in generation 1285, 233 generations after burn-in, is: -1.061423
log average fitness in generation 1286, 234 generations after burn-in, is: -1.064763
log average fitness in generation 1287, 235 generations after burn-in, is: -1.074488
log average fitness in generation 1288, 236 generations after burn-in, is: -1.064805
log average fitness in generation 1289, 237 generations after burn-in, is: -1.067378
log average fitness in generation 1290, 238 generations after burn-in, is: -1.078065
log average fitness in generation 1291, 239 generations after burn-in, is: -1.082735
log average fitness in generation 1292, 240 generations after burn-in, is: -1.099046
log average fitness in generation 1293, 241 generations after burn-in, is: -1.092111
log average fitness in generation 1294, 242 generations after burn-in, is: -1.101532
log average fitness in generation 1295, 243 generations after burn-in, is: -1.098781
log average fitness in generation 1296, 244 generations after burn-in, is: -1.110380
log average fitness in generation 1297, 245 generations after burn-in, is: -1.116881
log average fitness in generation 1298, 246 generations after burn-in, is: -1.112167
log average fitness in generation 1299, 247 generations after burn-in, is: -1.110716
log average fitness in generation 1300, 248 generations after burn-in, is: -1.103253
log average fitness in generation 1301, 249 generations after burn-in, is: -1.094142
log average fitness in generation 1302, 250 generations after burn-in, is: -1.096207
log average fitness in generation 1303, 251 generations after burn-in, is: -1.096505
log average fitness in generation 1304, 252 generations after burn-in, is: -1.096886
log average fitness in generation 1305, 253 generations after burn-in, is: -1.098022
log average fitness in generation 1306, 254 generations after burn-in, is: -1.113970
log average fitness in generation 1307, 255 generations after burn-in, is: -1.112766
log average fitness in generation 1308, 256 generations after burn-in, is: -1.108232
log average fitness in generation 1309, 257 generations after burn-in, is: -1.107884
log average fitness in generation 1310, 258 generations after burn-in, is: -1.096736
log average fitness in generation 1311, 259 generations after burn-in, is: -1.095619
log average fitness in generation 1312, 260 generations after burn-in, is: -1.101252
log average fitness in generation 1313, 261 generations after burn-in, is: -1.107032
log average fitness in generation 1314, 262 generations after burn-in, is: -1.104031
log average fitness in generation 1315, 263 generations after burn-in, is: -1.100212
log average fitness in generation 1316, 264 generations after burn-in, is: -1.091742
log average fitness in generation 1317, 265 generations after burn-in, is: -1.087865
log average fitness in generation 1318, 266 generations after burn-in, is: -1.109165
log average fitness in generation 1319, 267 generations after burn-in, is: -1.110958
log average fitness in generation 1320, 268 generations after burn-in, is: -1.103679
log average fitness in generation 1321, 269 generations after burn-in, is: -1.089393
log average fitness in generation 1322, 270 generations after burn-in, is: -1.078155
log average fitness in generation 1323, 271 generations after burn-in, is: -1.070163
log average fitness in generation 1324, 272 generations after burn-in, is: -1.077775
log average fitness in generation 1325, 273 generations after burn-in, is: -1.070991
log average fitness in generation 1326, 274 generations after burn-in, is: -1.067693
log average fitness in generation 1327, 275 generations after burn-in, is: -1.065789
log average fitness in generation 1328, 276 generations after burn-in, is: -1.069008
log average fitness in generation 1329, 277 generations after burn-in, is: -1.061379
log average fitness in generation 1330, 278 generations after burn-in, is: -1.073201
log average fitness in generation 1331, 279 generations after burn-in, is: -1.076583
log average fitness in generation 1332, 280 generations after burn-in, is: -1.074703
log average fitness in generation 1333, 281 generations after burn-in, is: -1.073734
log average fitness in generation 1334, 282 generations after burn-in, is: -1.079744
log average fitness in generation 1335, 283 generations after burn-in, is: -1.081443
log average fitness in generation 1336, 284 generations after burn-in, is: -1.087381
log average fitness in generation 1337, 285 generations after burn-in, is: -1.093422
log average fitness in generation 1338, 286 generations after burn-in, is: -1.091968
log average fitness in generation 1339, 287 generations after burn-in, is: -1.085902
log average fitness in generation 1340, 288 generations after burn-in, is: -1.073312
log average fitness in generation 1341, 289 generations after burn-in, is: -1.070648
log average fitness in generation 1342, 290 generations after burn-in, is: -1.075589
log average fitness in generation 1343, 291 generations after burn-in, is: -1.069026
log average fitness in generation 1344, 292 generations after burn-in, is: -1.057891
log average fitness in generation 1345, 293 generations after burn-in, is: -1.072215
log average fitness in generation 1346, 294 generations after burn-in, is: -1.072313
log average fitness in generation 1347, 295 generations after burn-in, is: -1.074177
log average fitness in generation 1348, 296 generations after burn-in, is: -1.071523
log average fitness in generation 1349, 297 generations after burn-in, is: -1.064258
log average fitness in generation 1350, 298 generations after burn-in, is: -1.060654
log average fitness in generation 1351, 299 generations after burn-in, is: -1.056674
log average fitness in generation 1352, 300 generations after burn-in, is: -1.061237
log average fitness in generation 1353, 301 generations after burn-in, is: -1.063680
log average fitness in generation 1354, 302 generations after burn-in, is: -1.055516
log average fitness in generation 1355, 303 generations after burn-in, is: -1.055212
log average fitness in generation 1356, 304 generations after burn-in, is: -1.052504
log average fitness in generation 1357, 305 generations after burn-in, is: -1.057686
log average fitness in generation 1358, 306 generations after burn-in, is: -1.059925
log average fitness in generation 1359, 307 generations after burn-in, is: -1.063216
log average fitness in generation 1360, 308 generations after burn-in, is: -1.055592
log average fitness in generation 1361, 309 generations after burn-in, is: -1.048957
log average fitness in generation 1362, 310 generations after burn-in, is: -1.050061
log average fitness in generation 1363, 311 generations after burn-in, is: -1.047677
log average fitness in generation 1364, 312 generations after burn-in, is: -1.065258
log average fitness in generation 1365, 313 generations after burn-in, is: -1.056685
log average fitness in generation 1366, 314 generations after burn-in, is: -1.058509
